"Which of following is/are the advantage(s) of modular programming?","Processor|None of the above|The program is much easier to change|Modules can be reused in other programs","A"
"The function(s) performed by the paging software is (are)","Easy debugging|Easy to compile|None of the above|Implementation of the access environment for all programs in the system","D"
"A compiler for a high-level language that runs on one machine and produces code for a different machine is called is","Management of the physical address space|Sharing and protection|All of the above|None of the above","C"
"A critical region is","a program segment that has not been proved bug-free|a program segment that often causes unexpected system crashes|a program segment where shared resources are accessed|one which is enclosed by a pair of P and V operations on semaphores","D"
"Assembler language","none is the above|is usually the primary user interface|requires fixed-format commands|is a mnemonic form of machine language","C"
"The primary job of the operating system of a computer is to","is quite different from the SCL interpreter|None of the above|command resources|manage resources","B"
"Which of the following is a measure to test how good or bad a modular design is","provide utilities|be user friendly|None of the above|Module strength","A"
"The Operating system manages","Module coupling|Static analysis|All of the above|None of the above","D"
"The primary purpose of an operating system is to:","make computer easier to use|keep system programmers employed|make the most efficient use of the hardware|allow people to sue the computers","A"
"Which of the following is true about pseudocode","None of the above|A machine language|An assembly language|A high-level language","B"
"The principles of structured programming forbid the use of","All of the above|None of the above|WHILE-DO|GOTO","D"
